Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
-1.415587e+02  -3.881081e+01  -1.213137e+02  -3.326041e+01
-1.422235e+02  -3.899306e+01  -1.213137e+02  -3.326041e+01
-1.428882e+02  -3.917530e+01  -1.213137e+02  -3.326041e+01
-1.435529e+02  -3.935755e+01  -1.213137e+02  -3.326040e+01
-1.442177e+02  -3.953980e+01  -1.213137e+02  -3.326040e+01
-1.448824e+02  -3.972205e+01  -1.213137e+02  -3.326040e+01
-1.455471e+02  -3.990430e+01  -1.213137e+02  -3.326039e+01
-1.462119e+02  -4.008655e+01  -1.213137e+02  -3.326039e+01
-1.468766e+02  -4.026880e+01  -1.213137e+02  -3.326039e+01
-1.475413e+02  -4.045105e+01  -1.213137e+02  -3.326039e+01
-1.482061e+02  -4.063329e+01  -1.213137e+02  -3.326039e+01
-1.488708e+02  -4.081554e+01  -1.213136e+02  -3.326038e+01
-1.495355e+02  -4.099779e+01  -1.213136e+02  -3.326038e+01
-1.502003e+02  -4.118004e+01  -1.213136e+02  -3.326038e+01
-1.508650e+02  -4.136229e+01  -1.213136e+02  -3.326038e+01
-1.515297e+02  -4.154454e+01  -1.213136e+02  -3.326037e+01
-1.521944e+02  -4.172679e+01  -1.213136e+02  -3.326037e+01
-1.528592e+02  -4.190903e+01  -1.213136e+02  -3.326037e+01
-1.535239e+02  -4.209128e+01  -1.213136e+02  -3.326037e+01
-1.541886e+02  -4.227353e+01  -1.213136e+02  -3.326036e+01
-1.548534e+02  -4.245578e+01  -1.213136e+02  -3.326036e+01
-1.555181e+02  -4.263803e+01  -1.213136e+02  -3.326036e+01
-1.561828e+02  -4.282028e+01  -1.213136e+02  -3.326036e+01
-1.568476e+02  -4.300253e+01  -1.213135e+02  -3.326036e+01
-1.575123e+02  -4.318477e+01  -1.213135e+02  -3.326035e+01
-1.581770e+02  -4.336702e+01  -1.213135e+02  -3.326035e+01
-1.588418e+02  -4.354927e+01  -1.213135e+02  -3.326035e+01
-1.595065e+02  -4.373152e+01  -1.213135e+02  -3.326035e+01
-1.601712e+02  -4.391377e+01  -1.213135e+02  -3.326034e+01
-1.608360e+02  -4.409602e+01  -1.213135e+02  -3.326034e+01
-1.615007e+02  -4.427826e+01  -1.213135e+02  -3.326034e+01
-1.621654e+02  -4.446051e+01  -1.213135e+02  -3.326034e+01
-1.628302e+02  -4.464276e+01  -1.213135e+02  -3.326034e+01
-1.634949e+02  -4.482501e+01  -1.213135e+02  -3.326033e+01
-1.641596e+02  -4.500726e+01  -1.213135e+02  -3.326033e+01
-1.648243e+02  -4.518951e+01  -1.213135e+02  -3.326033e+01
-1.654891e+02  -4.537176e+01  -1.213134e+02  -3.326033e+01
-1.661538e+02  -4.555400e+01  -1.213134e+02  -3.326033e+01
-1.668185e+02  -4.573625e+01  -1.213134e+02  -3.326032e+01
-1.674833e+02  -4.591850e+01  -1.213134e+02  -3.326032e+01
-1.681480e+02  -4.610075e+01  -1.213134e+02  -3.326032e+01
-1.688127e+02  -4.628300e+01  -1.213134e+02  -3.326032e+01
-1.694775e+02  -4.646525e+01  -1.213134e+02  -3.326032e+01
-1.701422e+02  -4.664749e+01  -1.213134e+02  -3.326032e+01
-1.708069e+02  -4.682974e+01  -1.213134e+02  -3.326031e+01
-1.714717e+02  -4.701199e+01  -1.213134e+02  -3.326031e+01
-1.721364e+02  -4.719424e+01  -1.213134e+02  -3.326031e+01
-1.728011e+02  -4.737649e+01  -1.213134e+02  -3.326031e+01
