Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
-4.132765e-01   9.106240e-01  -5.721456e+00  -2.596544e+00
-4.195367e-01   9.077569e-01  -5.703441e+00  -2.635877e+00
-4.257771e-01   9.048467e-01  -5.685156e+00  -2.675085e+00
-4.319974e-01   9.018937e-01  -5.666602e+00  -2.714167e+00
-4.381971e-01   8.988979e-01  -5.647779e+00  -2.753119e+00
-4.443761e-01   8.958595e-01  -5.628688e+00  -2.791942e+00
-4.505339e-01   8.927786e-01  -5.609330e+00  -2.830632e+00
-4.566705e-01   8.896553e-01  -5.589707e+00  -2.869187e+00
-4.627854e-01   8.864899e-01  -5.569818e+00  -2.907607e+00
-4.688783e-01   8.832825e-01  -5.549665e+00  -2.945889e+00
-4.749490e-01   8.800332e-01  -5.529249e+00  -2.984031e+00
-4.809972e-01   8.767422e-01  -5.508571e+00  -3.022031e+00
-4.870226e-01   8.734096e-01  -5.487632e+00  -3.059888e+00
-4.930249e-01   8.700355e-01  -5.466433e+00  -3.097601e+00
-4.990038e-01   8.666203e-01  -5.444975e+00  -3.135166e+00
-5.049591e-01   8.631640e-01  -5.423258e+00  -3.172583e+00
-5.108904e-01   8.596667e-01  -5.401284e+00  -3.209849e+00
-5.167975e-01   8.561287e-01  -5.379055e+00  -3.246963e+00
-5.226801e-01   8.525501e-01  -5.356570e+00  -3.283923e+00
-5.285379e-01   8.489310e-01  -5.333831e+00  -3.320728e+00
-5.343707e-01   8.452717e-01  -5.310839e+00  -3.357375e+00
-5.401781e-01   8.415724e-01  -5.287596e+00  -3.393863e+00
-5.459600e-01   8.378331e-01  -5.264102e+00  -3.430190e+00
-5.517159e-01   8.340542e-01  -5.240358e+00  -3.466354e+00
-5.574457e-01   8.302357e-01  -5.216366e+00  -3.502354e+00
-5.631490e-01   8.263778e-01  -5.192127e+00  -3.538188e+00
-5.688257e-01   8.224807e-01  -5.167641e+00  -3.573854e+00
