Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
   5.881112e-08   3.098879e-06  -2.483662e-10  -1.959652e-02  -1.032581e+00   8.275838e-05
  -1.236330e-07   3.098585e-06  -2.494395e-10   4.119589e-02  -1.032483e+00   8.311602e-05
  -3.056350e-07   3.087207e-06  -2.496205e-10   1.018410e-01  -1.028692e+00   8.317632e-05
  -4.865451e-07   3.064797e-06  -2.489096e-10   1.621222e-01  -1.021224e+00   8.293943e-05
  -6.657182e-07   3.031446e-06  -2.473100e-10   2.218247e-01  -1.010112e+00   8.240644e-05
  -8.425159e-07   2.987278e-06  -2.448280e-10   2.807357e-01  -9.953943e-01   8.157941e-05
  -1.016308e-06   2.932452e-06  -2.414725e-10   3.386450e-01  -9.771257e-01   8.046131e-05
  -1.186473e-06   2.867162e-06  -2.372552e-10   3.953458e-01  -9.553700e-01   7.905607e-05
  -1.352401e-06   2.791633e-06  -2.321908e-10   4.506349e-01  -9.302030e-01   7.736854e-05
  -1.513495e-06   2.706126e-06  -2.262964e-10   5.043133e-01  -9.017111e-01   7.540448e-05
  -1.669172e-06   2.610934e-06  -2.195922e-10   5.561868e-01  -8.699922e-01   7.317055e-05
  -1.818866e-06   2.506383e-06  -2.121008e-10   6.060663e-01  -8.351546e-01   7.067433e-05
  -1.962026e-06   2.392828e-06  -2.038475e-10   6.537688e-01  -7.973170e-01   6.792424e-05
  -2.098121e-06   2.270659e-06  -1.948602e-10   6.991172e-01  -7.566087e-01   6.492958e-05
  -2.226641e-06   2.140292e-06  -1.851695e-10   7.419416e-01  -7.131689e-01   6.170052e-05
  -2.347098e-06   2.002174e-06  -1.748082e-10   7.820792e-01  -6.671467e-01   5.824804e-05
  -2.459027e-06   1.856783e-06  -1.638119e-10   8.193752e-01  -6.187007e-01   5.458394e-05
  -2.561989e-06   1.704621e-06  -1.522182e-10   8.536833e-01  -5.679987e-01   5.072080e-05
  -2.655572e-06   1.546219e-06  -1.400673e-10   8.848659e-01  -5.152174e-01   4.667198e-05
  -2.739391e-06   1.382133e-06  -1.274015e-10   9.127954e-01  -4.605420e-01   4.245159e-05
  -2.813093e-06   1.212943e-06  -1.142652e-10   9.373537e-01  -4.041660e-01   3.807444e-05
  -2.876356e-06   1.039253e-06  -1.007050e-10   9.584338e-01  -3.462905e-01   3.355601e-05
  -2.928893e-06   8.616871e-07  -8.676922e-11   9.759396e-01  -2.871237e-01   2.891247e-05
  -2.970449e-06   6.808920e-07  -7.250823e-11   9.897867e-01  -2.268808e-01   2.416055e-05
  -3.000809e-06   4.975312e-07  -5.797400e-11   9.999030e-01  -1.657829e-01   1.931758e-05
  -3.019795e-06   3.122850e-07  -4.322006e-11   1.006229e+00  -1.040568e-01   1.440141e-05
  -3.027267e-06   1.258490e-07  -2.830141e-11   1.008719e+00  -4.193429e-02   9.430343e-06
  -3.023129e-06  -6.106895e-08  -1.327427e-11   1.007340e+00   2.034885e-02   4.423133e-06
  -3.007326e-06  -2.477505e-07   1.804038e-12   1.002074e+00   8.255323e-02  -6.011255e-07
  -2.979847e-06  -4.334695e-07   1.687528e-11   9.929179e-01   1.444368e-01  -5.623029e-06
  -2.940725e-06  -6.174940e-07   3.188052e-11   9.798822e-01   2.057559e-01  -1.062294e-05
  -2.890041e-06  -7.990900e-07   4.676035e-11   9.629937e-01   2.662656e-01  -1.558107e-05
  -2.827921e-06  -9.775232e-07   6.145510e-11   9.422948e-01   3.257216e-01  -2.047752e-05
  -2.754540e-06  -1.152063e-06   7.590504e-11   9.178435e-01   3.838801e-01  -2.529240e-05
  -2.670120e-06  -1.321985e-06   9.005072e-11   8.897138e-01   4.404999e-01  -3.000590e-05
  -2.574932e-06  -1.486574e-06   1.038331e-10   8.579958e-01   4.953429e-01  -3.459836e-05
  -2.469293e-06  -1.645129e-06   1.171941e-10   8.227959e-01   5.481753e-01  -3.905038e-05
  -2.353571e-06  -1.796966e-06   1.300764e-10   7.842360e-01   5.987689e-01  -4.334291e-05
  -2.228180e-06  -1.941419e-06   1.424243e-10   7.424544e-01   6.469023e-01  -4.745736e-05
  -2.093581e-06  -2.077848e-06   1.541835e-10   6.976045e-01   6.923620e-01  -5.137566e-05
  -1.950281e-06  -2.205640e-06   1.653018e-10   6.498552e-01   7.349438e-01  -5.508040e-05
  -1.798830e-06  -2.324213e-06   1.757292e-10   5.993900e-01   7.744535e-01  -5.855491e-05
  -1.639820e-06  -2.433019e-06   1.854181e-10   5.464063e-01   8.107090e-01  -6.178337e-05
  -1.473886e-06  -2.531550e-06   1.943239e-10   4.911152e-01   8.435405e-01  -6.475089e-05
  -1.301698e-06  -2.619337e-06   2.024051e-10   4.337403e-01   8.727923e-01  -6.744363e-05
  -1.123962e-06  -2.695959e-06   2.096235e-10   3.745166e-01   8.983236e-01  -6.984886e-05
  -9.414148e-07  -2.761041e-06   2.159445e-10   3.136899e-01   9.200094e-01  -7.195510e-05
  -7.548230e-07  -2.814257e-06   2.213375e-10   2.515154e-01   9.377418e-01  -7.375213e-05
  -5.649767e-07  -2.855339e-06   2.257762e-10   1.882565e-01   9.514305e-01  -7.523113e-05
  -3.726869e-07  -2.884069e-06   2.292382e-10   1.241834e-01   9.610037e-01  -7.638470e-05
  -1.787810e-07  -2.900289e-06   2.317059e-10   5.957182e-02   9.664086e-01  -7.720696e-05
   1.590182e-08  -2.903901e-06   2.331662e-10  -5.298663e-03   9.676120e-01  -7.769357e-05
   2.105152e-07  -2.894863e-06   2.336109e-10  -7.014599e-02   9.646006e-01  -7.784175e-05
   4.042100e-07  -2.873198e-06   2.330366e-10  -1.346873e-01   9.573815e-01  -7.765037e-05
   5.961396e-07  -2.838986e-06   2.314446e-10  -1.986403e-01   9.459815e-01  -7.711990e-05
   7.854643e-07  -2.792368e-06   2.288413e-10  -2.617254e-01   9.304481e-01  -7.625245e-05
   9.713563e-07  -2.733547e-06   2.252379e-10  -3.236667e-01   9.108484e-01  -7.505175e-05
   1.153004e-06  -2.662784e-06   2.206504e-10  -3.841939e-01   8.872691e-01  -7.352315e-05
   1.329619e-06  -2.580394e-06   2.150995e-10  -4.430437e-01   8.598160e-01  -7.167355e-05
   1.500435e-06  -2.486752e-06   2.086107e-10  -4.999616e-01   8.286133e-01  -6.951139e-05
   1.664718e-06  -2.382282e-06   2.012135e-10  -5.547026e-01   7.938028e-01  -6.704657e-05
   1.821768e-06  -2.267460e-06   1.929420e-10  -6.070335e-01   7.555429e-01  -6.429041e-05
   1.970922e-06  -2.142809e-06   1.838341e-10  -6.567331e-01   7.140079e-01  -6.125557e-05
   2.111556e-06  -2.008896e-06   1.739316e-10  -7.035940e-01   6.693864e-01  -5.795593e-05
   2.243093e-06  -1.866326e-06   1.632796e-10  -7.474235e-01   6.218807e-01  -5.440658e-05
   2.365000e-06  -1.715744e-06   1.519266e-10  -7.880442e-01   5.717049e-01  -5.062363e-05
   2.476793e-06  -1.557824e-06   1.399239e-10  -8.252950e-01   5.190841e-01  -4.662418e-05
   2.578040e-06  -1.393269e-06   1.273252e-10  -8.590316e-01   4.642528e-01  -4.242618e-05
   2.668359e-06  -1.222809e-06   1.141869e-10  -8.891270e-01   4.074534e-01  -3.804833e-05
   2.747423e-06  -1.047189e-06   1.005668e-10  -9.154719e-01   3.489350e-01  -3.350997e-05
   2.814957e-06  -8.671742e-07   8.652461e-11  -9.379750e-01   2.889521e-01  -2.883096e-05
   2.870741e-06  -6.835389e-07   7.212120e-11  -9.565629e-01   2.277627e-01  -2.403159e-05
   2.914610e-06  -4.970655e-07   5.741837e-11  -9.711803e-01   1.656277e-01  -1.913244e-05
   2.946449e-06  -3.085400e-07   4.247851e-11  -9.817896e-01   1.028090e-01  -1.415431e-05
   2.966201e-06  -1.187479e-07   2.736432e-11  -9.883711e-01   3.956813e-02  -9.118096e-06
   2.973858e-06   7.152916e-08   1.213848e-11  -9.909224e-01  -2.383431e-02  -4.044678e-06
   2.969463e-06   2.615172e-07  -3.136608e-12  -9.894580e-01  -8.714043e-02   1.045152e-06
   2.953109e-06   4.504528e-07  -1.839913e-11  -9.840089e-01  -1.500959e-01   6.130795e-06
   2.924939e-06   6.375867e-07  -3.358810e-11  -9.746221e-01  -2.124510e-01   1.119193e-05
   2.885138e-06   8.221862e-07  -4.864357e-11  -9.613599e-01  -2.739616e-01   1.620858e-05
   2.833937e-06   1.003538e-06  -6.350692e-11  -9.442993e-01  -3.343900e-01   2.116121e-05
