 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20            2.4         613590     -1.2320119     0.44708036      1.3671854      8.6343522             12      2.2803663     0.27191487
             20              1         657933     -1.9971781     0.99927993    0.023180898    0.001559951             12       2.417385  0.00072344753
             20            2.4         657933     -1.2329787     0.44835052      1.3610428      8.5815475             12      2.4732317     0.27152334
             20              1         705480     -1.9972033     0.99928661    0.022926082    0.001540606             12      2.6934643  0.00072142371
             20            2.4         705480     -1.2337222     0.44914526      1.3648111      8.6169737             12       2.629095      0.2712506
             20              1         756463     -1.9972057     0.99928733     0.02285143   0.0015353156             12      2.7772227  0.00072075567
             20            2.4         756463     -1.2326603      0.4472711      1.3630425      8.6536839             12      2.8514372     0.27167073
             20              1         811130     -1.9971844     0.99928167    0.023053645   0.0015501126             12        3.02514  0.00072350918
             20            2.4         811130     -1.2329044      0.4480904      1.3677659      8.6795945             12       3.030377     0.27161108
             20              1         869749     -1.9971815      0.9992811    0.023046888   0.0015484019             12      3.1688278  0.00072172546
             20            2.4         869749     -1.2325529       0.447038      1.3715529      8.7105784             12       3.256814     0.27176089
             20              1         932603     -1.9971792     0.99928032    0.023135797   0.0015551502             12      3.5290562  0.00072379673
             20            2.4         932603     -1.2316329      0.4456576      1.3718043      8.7001861             12      3.5182676     0.27209382
             20              1        1000000     -1.9971669     0.99927718    0.023236023   0.0015616125             12      3.7694305   0.0007236975
             20            2.4        1000000     -1.2310668     0.44416071      1.3702919      8.7270914             12      3.7464358     0.27225948
